strategy_name,profit_factor,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_dollars,max_drawdown_pct,peak_before_max_dd,valley_at_max_dd,max_drawdown_start_date,longest_drawdown_duration_days,max_consecutive_wins,max_consecutive_losses,avg_win_loss_ratio,kelly_criterion,recovery_factor,downside_deviation,upside_deviation,var_95,cvar_95,median_drawdown,drawdown_5pct_count,drawdown_10pct_count,drawdown_20pct_count,days_underwater,avg_win_streak,avg_loss_streak,daily_pnl_std,monthly_pnl_std,annualized_volatility
00_Baseline,1.168588612886696,1.4894350916071362,6675700495735465.0,91.49238875880694,34.15999999999076,34.15999999999076,2389.38000000043,2355.220000000439,N/A,18,18,11,0.9607843137254908,0.07917289206589051,91.49238875880694,2.220507136944432e-16,4.440992547310277e-16,-1.02,-1.0199999999999998,4.439999999990505,17041,7771,1100,519,2.1721528937800922,1.786065251572327,5.652781970870497,37.68065717214769,107.99624791502002
01_Cut_Bottom_5_Pct,1.2057899720547822,1.7898319792050177,,137.40169622206506,25.939999999997326,25.939999999997326,2242.060000000286,2216.1200000002887,N/A,15,18,10,0.9607843137254902,0.09498403696814334,137.40169622206506,0.0,1.1102490748856017e-16,-1.02,-1.02,3.679999999998472,13403,5027,260,431,2.2060041407867494,1.7579459571384202,5.453279071681152,34.954670844020455,104.18475037776406
02_Cut_Bottom_10_Pct,1.239240771994402,2.0524893029804185,9169086951363240.0,137.01706970128964,28.119999999998072,28.119999999998075,2899.0600000003874,2870.9400000003893,N/A,15,20,10,0.9607843137254906,0.10874456548122402,137.01706970128964,2.220516368824991e-16,2.220500567488146e-16,-1.02,-1.0199999999999998,3.2199999999998,10733,3067,129,393,2.2320254274441034,1.730680697139099,5.224998530473614,32.81587360349196,99.82345676172393
03_Cut_Bottom_15_Pct,1.2663228324505162,2.2602652080467984,1.0082886294727722e+16,149.37676842889996,26.85999999999831,26.85999999999831,3020.0800000003674,2993.220000000369,N/A,14,19,10,0.9607843137254906,0.11958240666947645,149.37676842889996,2.220521220503081e-16,2.2205030824757574e-16,-1.02,-1.0199999999999998,3.099999999999909,8789,2304,83,363,2.26255230125523,1.7168429617575265,5.091013915792634,31.104313915342097,97.26368429244236
04_Cut_Bottom_20_Pct,1.2965842319364638,2.4875423694524477,5539007892663781.0,182.10925110133402,22.699999999998454,22.699999999998454,3114.4800000003456,3091.780000000347,N/A,10,27,11,0.960784313725491,0.13138494044599758,182.10925110133402,4.441054598897647e-16,4.441012511512904e-16,-1.02,-1.0199999999999996,2.6799999999993815,7346,1686,30,342,2.2916614887535727,1.6983594332587622,5.0076213877268,29.24262986123514,95.6704722807873
05_Cut_Bottom_25_Pct,1.3259448256346396,2.7033587962909396,1.201833839192312e+16,190.40417802002133,22.019999999995434,22.019999999995434,3187.160000000333,3165.1400000003377,N/A,10,25,11,0.9607843137254907,0.14253757475004025,190.40417802002133,2.220534090567897e-16,3.330764764883602e-16,-1.02,-1.0199999999999998,2.319999999999709,6005,1390,19,324,2.3286058335563284,1.6875418172086176,4.898540641415255,25.711573199561254,93.58648754864612
06_Cut_WR_LT_50,1.3120726816930153,2.601952501161883,5788544320884931.0,192.82717190389502,21.63999999999851,21.63999999999851,3124.2600000003335,3102.620000000335,N/A,10,26,11,0.9607843137254909,0.13730414290123538,192.82717190389502,4.441061491520294e-16,3.3307621028280434e-16,-1.02,-1.0199999999999996,2.399999999999636,6459,1508,10,329,2.3075534931683426,1.6899574577800696,4.91194163291891,26.629371329744487,93.84251313183573
07_Cut_WR_LT_52,1.3705216572804038,3.02267981988377,1.3400686458479906e+16,214.5286298568663,19.55999999999858,19.55999999999858,2483.380000000209,2463.8200000002103,N/A,11,23,11,0.9607843137254907,0.15893308810105855,214.5286298568663,2.220546049072438e-16,3.330774226887347e-16,-1.02,-1.0199999999999998,2.199999999999818,4585,830,0,304,2.3834462001504892,1.670880361173815,4.6791731250548345,26.588911900189448,89.3954770332142
08_Cut_WR_LT_54,1.4582869470816429,3.624394106915295,,185.82336448599236,21.399999999998727,21.399999999998727,2340.740000000166,2319.3400000001675,N/A,8,17,8,0.9607843137254906,0.1894474770159244,185.82336448599236,0.0,4.441064076120925e-16,-1.02,-1.02,2.0799999999981083,2714,545,4,287,2.4941085570793895,1.6432296696928723,4.2371673545712705,20.12413301808875,80.95096864513259
09_Keep_Top_20_Pct,1.8266623453789235,5.841160239419168,2.500163431424901e+16,160.13153961136442,13.379999999999654,13.379999999999653,1877.2800000000946,1863.900000000095,N/A,9,24,7,0.9607843137254906,0.29656615766219674,160.13153961136442,2.220883101916538e-16,2.220675897193504e-16,-1.02,-1.0199999999999998,1.1000000000000512,329,22,0,373,2.913751507840772,1.5325693606755126,2.610255063543598,13.321961997824173,49.86885296771495
10_Keep_Top_30_Pct,1.6842415896124345,5.035214668147868,2.181021466179442e+16,178.57701711491802,16.359999999999673,16.359999999999673,1619.3800000000815,1603.0200000000818,N/A,9,16,11,0.9607843137254907,0.25868993900927273,178.57701711491802,2.2207113196710974e-16,3.330896043726418e-16,-1.02,-1.0199999999999998,1.2199999999998,776,120,0,329,2.745230078563412,1.5660306771417882,3.200673004379272,16.069782547100974,61.1487718891493
