strategy_name,mc_mean_final_pnl,mc_median_final_pnl,mc_std_final_pnl,mc_5th_percentile_pnl,mc_95th_percentile_pnl,mc_probability_profitable,mc_mean_max_drawdown,mc_worst_max_drawdown,mc_best_max_drawdown,mc_mean_sharpe,mc_median_sharpe,mc_confidence_95_lower_bound_pnl,mc_confidence_95_upper_bound_pnl,mc_risk_of_ruin_pct
00_Baseline,3124.494,3124.38,207.95284803050907,2797.1800000000003,3479.58,100.0,5.982159999999986,40.519999999999754,0.0,1.4890991051594227,1.4889733728802907,2703.33,3547.4300000000003,0.0
01_Cut_Bottom_5_Pct,3571.443999999999,3576.2,191.72525254644987,3240.1000000000004,3878.2,100.0,4.951979999999993,45.980000000000295,0.0,1.7936107894298499,1.7959460265555904,3202.15,3936.25,0.0
02_Cut_Bottom_10_Pct,3857.0319999999992,3855.92,188.1635550684564,3554.82,4154.92,100.0,4.0504199999999955,32.739999999999895,0.0,2.054835168984319,2.054137776214378,3490.82,4242.97,0.0
03_Cut_Bottom_15_Pct,4001.248000000002,4004.26,183.3674994539654,3690.26,4298.46,100.0,3.4998799999999957,27.199999999999974,0.0,2.254105293541299,2.2557178006731866,3634.0600000000004,4358.31,0.0
04_Cut_Bottom_20_Pct,4143.556000000001,4151.880000000001,181.28485602498628,3839.880000000001,4436.080000000001,100.0,3.4288199999999964,27.859999999999985,0.0,2.4936553868006524,2.498626202801158,3783.880000000001,4485.88,0.0
05_Cut_Bottom_25_Pct,4189.395999999999,4188.700000000001,174.03088112171358,3906.600000000001,4466.800000000001,100.0,2.9559999999999977,25.17999999999998,0.0,2.701381371209424,2.7007657242301772,3834.6500000000005,4538.750000000001,0.0
06_Cut_WR_LT_50,4176.012,4184.780000000001,172.88241719735407,3880.780000000001,4456.880000000001,100.0,3.2781799999999968,22.45999999999998,0.0,2.6041923073551567,2.6096373206993415,3822.7800000000007,4500.830000000001,0.0
07_Cut_WR_LT_52,4200.082,4202.18,167.17409606754256,3931.8800000000006,4482.280000000001,100.0,2.7532199999999984,24.259999999999977,0.0,3.025827887103832,3.027180391657418,3886.0800000000004,4530.2300000000005,0.0
08_Cut_WR_LT_54,3978.154000000001,3974.62,146.1882992718638,3736.42,4218.62,100.0,2.1616199999999997,15.759999999999977,0.0,3.626228260360962,3.6225832018312696,3704.62,4278.62,0.0
09_Keep_Top_20_Pct,2142.076000000001,2144.5600000000004,81.77445654970754,2010.4600000000003,2280.5600000000004,100.0,1.2253200000000002,11.539999999999992,0.0,5.8414827438984736,5.847555019718528,1978.5100000000004,2310.5600000000004,0.0
10_Keep_Top_30_Pct,2924.658000000001,2925.5200000000004,106.32044467551854,2743.5200000000004,3089.6200000000003,100.0,1.5234400000000001,15.939999999999985,0.0,5.042035645696438,5.042845238268135,2711.5200000000004,3123.67,0.0
