hour,day_name,quarter,trades,wins,pnl,win_rate
0,Friday,Q1,47,32,16.06,68.08510638297872
0,Friday,Q2,48,36,23.04,75.0
0,Friday,Q3,46,22,-2.920000000000001,47.82608695652174
0,Friday,Q4,56,28,-1.120000000000001,50.0
0,Monday,Q1,39,23,6.219999999999999,58.97435897435898
0,Monday,Q2,46,24,1.0799999999999992,52.17391304347826
0,Monday,Q3,41,27,12.18,65.85365853658537
0,Monday,Q4,39,23,6.219999999999999,58.97435897435898
0,Saturday,Q1,41,28,14.18,68.29268292682927
0,Saturday,Q2,39,22,4.219999999999999,56.41025641025641
0,Saturday,Q3,46,29,11.079999999999998,63.04347826086957
0,Saturday,Q4,37,18,-1.7400000000000007,48.64864864864865
0,Sunday,Q1,54,29,2.919999999999999,53.70370370370371
0,Sunday,Q2,60,34,6.799999999999999,56.666666666666664
0,Sunday,Q3,53,30,5.9399999999999995,56.60377358490566
0,Sunday,Q4,57,30,1.859999999999999,52.63157894736842
0,Thursday,Q1,52,30,6.959999999999999,57.692307692307686
0,Thursday,Q2,56,31,4.879999999999999,55.35714285714286
0,Thursday,Q3,50,32,13.0,64.0
0,Thursday,Q4,55,27,-2.100000000000001,49.09090909090909
0,Tuesday,Q1,56,33,8.879999999999999,58.92857142857143
0,Tuesday,Q2,62,40,16.759999999999998,64.51612903225806
0,Tuesday,Q3,71,45,17.58,63.38028169014085
0,Tuesday,Q4,68,37,4.639999999999999,54.41176470588235
0,Wednesday,Q1,47,29,10.059999999999999,61.702127659574465
0,Wednesday,Q2,44,21,-2.880000000000001,47.72727272727273
0,Wednesday,Q3,48,28,7.039999999999999,58.333333333333336
0,Wednesday,Q4,54,37,18.919999999999998,68.51851851851852
1,Friday,Q1,58,35,10.84,60.3448275862069
1,Friday,Q2,58,34,8.84,58.620689655172406
1,Friday,Q3,64,33,0.7199999999999989,51.5625
1,Friday,Q4,58,34,8.84,58.620689655172406
1,Monday,Q1,33,17,0.3399999999999994,51.515151515151516
1,Monday,Q2,36,19,1.2799999999999994,52.77777777777778
1,Monday,Q3,40,23,5.199999999999999,57.49999999999999
1,Monday,Q4,38,22,5.239999999999999,57.89473684210527
1,Saturday,Q1,47,31,14.059999999999999,65.95744680851064
1,Saturday,Q2,40,25,9.2,62.5
1,Saturday,Q3,38,23,7.239999999999999,60.526315789473685
1,Saturday,Q4,44,34,23.119999999999997,77.27272727272727
1,Sunday,Q1,66,42,16.68,63.63636363636363
1,Sunday,Q2,57,36,13.86,63.1578947368421
1,Sunday,Q3,57,28,-2.140000000000001,49.122807017543856
1,Sunday,Q4,55,33,9.899999999999999,60.0
1,Thursday,Q1,61,35,7.779999999999999,57.377049180327866
1,Thursday,Q2,62,40,16.759999999999998,64.51612903225806
1,Thursday,Q3,70,28,-15.400000000000002,40.0
1,Thursday,Q4,65,40,13.7,61.53846153846154
1,Tuesday,Q1,67,35,1.6599999999999988,52.23880597014925
1,Tuesday,Q2,69,38,5.619999999999999,55.072463768115945
1,Tuesday,Q3,73,30,-14.46,41.0958904109589
1,Tuesday,Q4,71,41,9.579999999999998,57.74647887323944
1,Wednesday,Q1,55,33,9.899999999999999,60.0
1,Wednesday,Q2,60,31,0.7999999999999989,51.66666666666667
1,Wednesday,Q3,61,39,15.78,63.934426229508205
1,Wednesday,Q4,56,35,12.879999999999999,62.5
2,Friday,Q1,65,31,-4.300000000000001,47.69230769230769
2,Friday,Q2,66,33,-1.3200000000000012,50.0
2,Friday,Q3,68,33,-3.360000000000001,48.529411764705884
2,Friday,Q4,65,36,5.699999999999999,55.38461538461539
2,Monday,Q1,36,18,-0.7200000000000006,50.0
2,Monday,Q2,40,21,1.1999999999999993,52.5
2,Monday,Q3,41,26,10.18,63.41463414634146
2,Monday,Q4,38,19,-0.7600000000000007,50.0
2,Saturday,Q1,37,22,6.26,59.45945945945946
2,Saturday,Q2,38,20,1.2399999999999993,52.63157894736842
2,Saturday,Q3,47,29,10.059999999999999,61.702127659574465
2,Saturday,Q4,49,33,16.02,67.3469387755102
2,Sunday,Q1,61,33,3.779999999999999,54.09836065573771
2,Sunday,Q2,62,38,12.759999999999998,61.29032258064516
2,Sunday,Q3,55,22,-12.100000000000001,40.0
2,Sunday,Q4,64,42,18.72,65.625
2,Thursday,Q1,58,28,-3.160000000000001,48.275862068965516
2,Thursday,Q2,58,25,-9.16,43.103448275862064
2,Thursday,Q3,66,33,-1.3200000000000012,50.0
2,Thursday,Q4,76,42,6.479999999999999,55.26315789473685
2,Tuesday,Q1,61,34,5.779999999999999,55.73770491803278
2,Tuesday,Q2,59,38,15.819999999999999,64.40677966101694
2,Tuesday,Q3,60,30,-1.200000000000001,50.0
2,Tuesday,Q4,55,28,-0.10000000000000098,50.90909090909091
2,Wednesday,Q1,49,36,22.02,73.46938775510205
2,Wednesday,Q2,59,45,29.82,76.27118644067797
2,Wednesday,Q3,49,25,0.01999999999999913,51.02040816326531
2,Wednesday,Q4,55,27,-2.100000000000001,49.09090909090909
3,Friday,Q1,62,38,12.759999999999998,61.29032258064516
3,Friday,Q2,62,40,16.759999999999998,64.51612903225806
3,Friday,Q3,57,29,-0.140000000000001,50.877192982456144
3,Friday,Q4,61,33,3.779999999999999,54.09836065573771
3,Monday,Q1,47,23,-1.9400000000000008,48.93617021276596
3,Monday,Q2,41,27,12.18,65.85365853658537
3,Monday,Q3,52,26,-1.040000000000001,50.0
3,Monday,Q4,49,30,10.02,61.224489795918366
3,Saturday,Q1,49,26,2.019999999999999,53.06122448979592
3,Saturday,Q2,45,26,6.1,57.77777777777777
3,Saturday,Q3,46,23,-0.9200000000000008,50.0
3,Saturday,Q4,42,27,11.16,64.28571428571429
3,Sunday,Q1,51,27,1.979999999999999,52.94117647058824
3,Sunday,Q2,51,31,9.979999999999999,60.78431372549019
