hour,day_name,quarter,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor,z_score,p_value,ci_95_lower,ci_95_upper,is_significant
9,Wednesday,Q4,88,39,49,44.31818181818182,-11.760000000000002,-0.13363636363636366,-2.555122374691739,0.98,-1.02,0.7647058823529408,-1.9909770350519793,0.04648341204384221,34.39329119175509,54.71839675793221,YES (p<0.05)
8,Wednesday,Q2,80,35,45,43.75,-11.600000000000001,-0.14500000000000002,-2.7746148023801984,0.98,-1.02,0.7472766884531586,-2.0004490489155584,0.04545179649555364,33.41368457196414,54.65906213134305,YES (p<0.05)
7,Tuesday,Q3,83,36,47,43.373493975903614,-12.660000000000002,-0.15253012048192774,-2.922253200135317,0.98,-1.02,0.735919899874843,-2.1065439598863303,0.03515712876779653,33.23899246354291,54.09426717239195,YES (p<0.05)
7,Tuesday,Q2,90,39,51,43.333333333333336,-13.8,-0.15333333333333335,-2.939353909916699,0.98,-1.02,0.7347174163783156,-2.2012327410370944,0.027719551568969214,33.576405263265094,53.63608898235731,YES (p<0.05)
6,Monday,Q3,68,29,39,42.64705882352941,-11.360000000000001,-0.1670588235294118,-3.2029223536442912,0.98,-1.02,0.7144293614881847,-2.0270970378709143,0.042652489756396905,31.597057562082874,54.48343062303549,YES (p<0.05)
12,Thursday,Q2,80,34,46,42.5,-13.600000000000001,-0.17,-3.2644161872344437,0.98,-1.02,0.7101449275362315,-2.225128294797608,0.026072626770886842,32.25638801480733,53.430908029161294,YES (p<0.05)
11,Friday,Q2,67,28,39,41.7910447761194,-12.340000000000002,-0.18417910447761196,-3.5404204733471683,0.98,-1.02,0.6897938662644542,-2.1529443555849777,0.031323051959421866,30.742116374992555,53.730284022513985,YES (p<0.05)
8,Monday,Q1,67,28,39,41.7910447761194,-12.340000000000002,-0.18417910447761196,-3.5404204733471687,0.98,-1.02,0.6897938662644542,-2.1529443555849777,0.031323051959421866,30.742116374992555,53.730284022513985,YES (p<0.05)
5,Wednesday,Q3,72,30,42,41.66666666666667,-13.440000000000001,-0.18666666666666668,-3.5916446248356904,0.98,-1.02,0.6862745098039216,-2.253041681285367,0.024256521003466203,30.985038222496446,53.19251077436016,YES (p<0.05)
15,Friday,Q1,75,31,44,41.333333333333336,-14.500000000000002,-0.19333333333333336,-3.7253105455520847,0.98,-1.02,0.676916221033868,-2.3575129686574217,0.01839781266798668,30.877553459149688,52.63368933653179,YES (p<0.05)
19,Wednesday,Q2,63,26,37,41.269841269841265,-12.260000000000002,-0.19460317460317464,-3.7458030656376766,0.98,-1.02,0.6751457339692631,-2.1708237192415467,0.029944500249122097,29.95827804043615,53.5849046481889,YES (p<0.05)
10,Monday,Q1,68,28,40,41.17647058823529,-13.360000000000001,-0.19647058823529415,-3.7852696999924165,0.98,-1.02,0.6725490196078432,-2.2707958962286314,0.023159336502284855,30.25783771245051,53.03874810969154,YES (p<0.05)
1,Tuesday,Q3,73,30,43,41.0958904109589,-14.46,-0.19808219178082193,-3.819396031640556,0.98,-1.02,0.6703146374829001,-2.3666359281198197,0.017950581233611818,30.531095731905992,52.55098480780166,YES (p<0.05)
20,Friday,Q2,56,23,33,41.07142857142857,-11.120000000000001,-0.1985714285714286,-3.821093520653712,0.98,-1.02,0.6696375519904931,-2.076510348248611,0.03784677504316947,29.166578979562857,54.12263788629633,YES (p<0.05)
7,Friday,Q1,78,32,46,41.02564102564102,-15.560000000000002,-0.1994871794871795,-3.849197414951562,0.98,-1.02,0.6683716965046886,-2.4588108902915913,0.01393980243402071,30.781733134445222,52.11205193329539,YES (p<0.05)
6,Wednesday,Q3,76,31,45,40.78947368421053,-15.520000000000001,-0.20421052631578948,-3.9431644091315787,0.98,-1.02,0.6618736383442264,-2.4684576431899137,0.013569671042631182,30.44362924110896,52.02165201577967,YES (p<0.05)
19,Wednesday,Q3,52,21,31,40.38461538461539,-11.040000000000001,-0.21230769230769234,-4.093345772978022,0.98,-1.02,0.6508538899430741,-2.1005041205065536,0.03568451852740617,28.15953542428228,53.93266823750391,YES (p<0.05)
7,Wednesday,Q3,77,31,46,40.25974025974026,-16.540000000000003,-0.21480519480519483,-4.156747196762309,0.98,-1.02,0.6474850809889171,-2.5780581490130676,0.009935727662288674,30.021845862969855,51.423350669508494,YES (p<0.05)
15,Wednesday,Q2,60,24,36,40.0,-13.200000000000001,-0.22000000000000003,-4.253866705063106,0.98,-1.02,0.6405228758169932,-2.3161734992482477,0.02054879751595351,28.569303003765505,52.63417560579315,YES (p<0.05)
1,Thursday,Q3,70,28,42,40.0,-15.400000000000002,-0.22000000000000003,-4.259013551113853,0.98,-1.02,0.6405228758169934,-2.5017533101919773,0.0123580000997503,29.334080573556932,51.706416923788744,YES (p<0.05)
2,Sunday,Q3,55,22,33,40.0,-12.100000000000001,-0.22000000000000003,-4.250588194591426,0.98,-1.02,0.6405228758169934,-2.217567294447126,0.02658434993755332,28.11830378643358,53.18743908935498,YES (p<0.05)
11,Friday,Q1,63,25,38,39.682539682539684,-14.260000000000002,-0.22634920634920638,-4.3842946085662895,0.98,-1.02,0.6320949432404538,-2.4240085467167583,0.015350244221203457,28.5317281473093,52.01930593924757,YES (p<0.05)
14,Friday,Q1,66,26,40,39.39393939393939,-15.32,-0.23212121212121212,-4.503428197529415,0.98,-1.02,0.6245098039215686,-2.528168743305605,0.011465922896751302,28.502820990291923,51.45181922413615,YES (p<0.05)
21,Sunday,Q3,66,26,40,39.39393939393939,-15.32,-0.23212121212121212,-4.503428197529415,0.98,-1.02,0.6245098039215686,-2.528168743305605,0.011465922896751302,28.502820990291923,51.45181922413615,YES (p<0.05)
10,Friday,Q3,61,24,37,39.34426229508197,-14.22,-0.23311475409836066,-4.520851667619752,0.98,-1.02,0.6232114467408583,-2.438315955230333,0.014755870462725307,28.068166862043626,51.882975614391256,YES (p<0.05)
22,Wednesday,Q4,54,21,33,38.88888888888889,-13.080000000000002,-0.24222222222222226,-4.702173159235251,0.98,-1.02,0.6114081996434938,-2.361397635687824,0.01820619742662588,27.04174250997504,52.21194341849167,YES (p<0.05)
14,Monday,Q3,60,23,37,38.333333333333336,-15.200000000000001,-0.25333333333333335,-4.935664432686621,0.98,-1.02,0.5972443031266559,-2.575610745430894,0.01000632236787502,27.088089584888248,50.98263545959686,YES (p<0.05)
