hour,day_name,quarter,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor,z_score,p_value,ci_95_lower,ci_95_upper,is_significant
1,Saturday,Q4,44,34,10,77.27272727272727,23.119999999999997,0.5254545454545454,11.84057239095537,0.98,-1.02,3.266666666666666,2.9850494208167144,0.0028353251098072185,63.00735713298432,87.1581891698149,YES (p<0.05)
2,Wednesday,Q2,59,45,14,76.27118644067797,29.82,0.5054237288135593,11.252312681309833,0.98,-1.02,3.0882352941176467,3.30201890386297,0.000959916005704331,64.02486613269723,85.30551374305388,YES (p<0.05)
0,Friday,Q2,48,36,12,75.0,23.04,0.48,10.47816777876743,0.98,-1.02,2.8823529411764697,2.8013537174208074,0.00508887066202135,61.215356252072915,85.07951119028996,YES (p<0.05)
2,Wednesday,Q1,49,36,13,73.46938775510205,22.02,0.4493877551020408,9.623507815176326,0.98,-1.02,2.6606334841628954,2.6150706077306083,0.008920901168046003,59.73744384734165,83.78886875485057,YES (p<0.05)
23,Tuesday,Q4,57,41,16,71.9298245614035,23.86,0.4185964912280702,8.820466236293203,0.98,-1.02,2.4620098039215685,2.586894692798355,0.009684518485828963,59.16955491727644,81.92075171502776,YES (p<0.05)
20,Saturday,Q4,57,41,16,71.9298245614035,23.86,0.4185964912280702,8.820466236293202,0.98,-1.02,2.4620098039215685,2.586894692798355,0.009684518485828963,59.16955491727644,81.92075171502776,YES (p<0.05)
17,Sunday,Q2,39,28,11,71.7948717948718,16.22,0.4158974358974359,8.714679566305922,0.98,-1.02,2.445632798573975,2.1228657425578485,0.03376510385691622,56.22438267752261,83.45667498605671,YES (p<0.05)
4,Saturday,Q2,49,35,14,71.42857142857143,20.02,0.4085714285714286,8.550766524895021,0.98,-1.02,2.4019607843137254,2.3279859980588067,0.01991284717894537,57.590850793899676,82.15056506027582,YES (p<0.05)
4,Saturday,Q3,35,25,10,71.42857142857143,14.299999999999999,0.40857142857142853,8.515063794744664,0.98,-1.02,2.401960784313726,1.9675072712078125,0.04912475847688169,54.94475193017892,83.67363660170443,YES (p<0.05)
8,Saturday,Q2,56,40,16,71.42857142857143,22.88,0.40857142857142853,8.56189309632263,0.98,-1.02,2.401960784313726,2.488721715983726,0.012820327137880616,58.524500913641255,81.58137860829667,YES (p<0.05)
3,Tuesday,Q3,55,39,16,70.9090909090909,21.9,0.39818181818181814,8.298197972927742,0.98,-1.02,2.341911764705881,2.38897992922667,0.016895225328043884,57.859029179656076,81.22896298914968,YES (p<0.05)
23,Saturday,Q4,57,40,17,70.17543859649122,21.86,0.3835087719298246,7.937225582557196,0.98,-1.02,2.260668973471742,2.320717694490372,0.020302085101223666,57.33547451096314,80.46760759075673,YES (p<0.05)
8,Saturday,Q1,56,39,17,69.64285714285714,20.88,0.37285714285714283,7.676751772484329,0.98,-1.02,2.204152249134947,2.220178653381823,0.026406642754911003,56.66388751588567,80.09983537922407,YES (p<0.05)
23,Wednesday,Q4,59,41,18,69.49152542372882,21.82,0.36983050847457627,7.607307874004456,0.98,-1.02,2.1884531590413943,2.255512388472224,0.024101185563144112,56.85343274025616,79.74652652239789,YES (p<0.05)
13,Friday,Q4,71,49,22,69.01408450704226,25.58,0.36028169014084505,7.38971079203395,0.98,-1.02,2.1399286987522284,2.3934317138559673,0.016691588075386177,57.51576839846767,78.56042452097819,YES (p<0.05)
9,Saturday,Q3,51,35,16,68.62745098039215,17.98,0.35254901960784313,7.186410555602112,0.98,-1.02,2.101715686274509,1.9730219083294591,0.04849306633802852,54.972742483749684,79.67249033221484,YES (p<0.05)
20,Sunday,Q2,54,37,17,68.51851851851852,18.919999999999998,0.35037037037037033,7.13926168111725,0.98,-1.02,2.09111880046136,2.0141362726801093,0.0439952281725402,55.25630440832037,79.32088571090179,YES (p<0.05)
0,Wednesday,Q4,54,37,17,68.51851851851852,18.919999999999998,0.35037037037037033,7.139261681117251,0.98,-1.02,2.09111880046136,2.0141362726801093,0.0439952281725402,55.25630440832037,79.32088571090179,YES (p<0.05)
23,Tuesday,Q2,57,39,18,68.42105263157895,19.86,0.34842105263157896,7.097145523652141,0.98,-1.02,2.0816993464052276,2.0545406961823907,0.0399233887540118,55.51998120281706,78.99587636831848,YES (p<0.05)
13,Monday,Q4,75,51,24,68.0,25.5,0.34,6.915938716713253,0.98,-1.02,2.0416666666666665,2.283441578220544,0.022404370473472435,56.78872410148672,77.45715624594409,YES (p<0.05)
23,Monday,Q4,59,40,19,67.79661016949152,19.82,0.3359322033898305,6.80928138986686,0.98,-1.02,2.0227038183694535,1.9938857596245363,0.0461645405341824,55.104764939032215,78.31258917034755,YES (p<0.05)
10,Friday,Q4,70,47,23,67.14285714285714,22.599999999999998,0.32285714285714284,6.519098665951709,0.98,-1.02,1.9633418584825229,2.0618988155731652,0.039217370333989976,55.500716116982375,77.00128817328218,YES (p<0.05)
10,Monday,Q3,70,47,23,67.14285714285714,22.599999999999998,0.32285714285714284,6.519098665951709,0.98,-1.02,1.9633418584825229,2.0618988155731652,0.039217370333989976,55.500716116982375,77.00128817328218,YES (p<0.05)
13,Saturday,Q2,69,46,23,66.66666666666666,21.619999999999997,0.3133333333333333,6.303172654088286,0.98,-1.02,1.92156862745098,1.9676278593528167,0.049110871818279334,54.926254535521416,76.64910899301172,YES (p<0.05)
9,Sunday,Q4,72,48,24,66.66666666666666,22.56,0.3133333333333333,6.30510347743089,0.98,-1.02,1.9215686274509807,2.00994727845233,0.044436769121700026,55.17938807199862,76.46551393428815,YES (p<0.05)
