filter,trades_removed,trades_remaining,new_win_rate,new_total_pnl,impact_score
1_Cut_Bottom_5_Pct_Slots,1991,38290,55.654217811439025,3564.2,0.15674308218269783
2_Cut_Bottom_10_Pct_Slots,4127,36154,56.32848370857997,3852.9199999999996,0.14142876730145235
3_Cut_Bottom_15_Pct_Slots,6044,34237,56.859537926804336,4012.2599999999998,0.13196400931436997
4_Cut_Bottom_20_Pct_Slots,8175,32106,57.437862081853865,4133.88,0.1260605780050829
5_Cut_Bottom_25_Pct_Slots,10266,30015,57.98434116275196,4192.7,0.12182665729282238
6_Cut_WR_LT_50,9270,31011,57.72790300216052,4172.78,0.12377309690402107
7_Cut_WR_LT_52,13340,26941,58.78772131695186,4196.18,0.11801214570325158
8_Cut_WR_LT_54,18862,21419,60.282926373780285,3976.62,0.11539420913065604
9_KEEP_ONLY_Top_20_Pct,32849,7432,65.5005382131324,2155.36,0.13024054910748759
10_KEEP_ONLY_Top_30_Pct,28718,11563,63.659949840006924,2927.7400000000002,0.12315845097336815
