# Precision Temporal Analysis Matrix
# Baseline WR: 54.88%
hour,day_name,quarter,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor
1,Saturday,Q4,44,34,10,77.27272727272727,23.119999999999997,0.5254545454545454,11.84057239095537,0.98,-1.02,3.266666666666666
2,Wednesday,Q2,59,45,14,76.27118644067797,29.82,0.5054237288135593,11.252312681309833,0.98,-1.02,3.0882352941176467
0,Friday,Q2,48,36,12,75.0,23.04,0.48,10.47816777876743,0.98,-1.02,2.8823529411764697
2,Wednesday,Q1,49,36,13,73.46938775510205,22.02,0.4493877551020408,9.623507815176326,0.98,-1.02,2.6606334841628954
23,Tuesday,Q4,57,41,16,71.9298245614035,23.86,0.4185964912280702,8.820466236293203,0.98,-1.02,2.4620098039215685
20,Saturday,Q4,57,41,16,71.9298245614035,23.86,0.4185964912280702,8.820466236293202,0.98,-1.02,2.4620098039215685
17,Sunday,Q2,39,28,11,71.7948717948718,16.22,0.4158974358974359,8.714679566305922,0.98,-1.02,2.445632798573975
4,Saturday,Q2,49,35,14,71.42857142857143,20.02,0.4085714285714286,8.550766524895021,0.98,-1.02,2.4019607843137254
4,Saturday,Q3,35,25,10,71.42857142857143,14.299999999999999,0.40857142857142853,8.515063794744664,0.98,-1.02,2.401960784313726
8,Saturday,Q2,56,40,16,71.42857142857143,22.88,0.40857142857142853,8.56189309632263,0.98,-1.02,2.401960784313726
3,Tuesday,Q3,55,39,16,70.9090909090909,21.9,0.39818181818181814,8.298197972927742,0.98,-1.02,2.341911764705881
23,Saturday,Q4,57,40,17,70.17543859649122,21.86,0.3835087719298246,7.937225582557196,0.98,-1.02,2.260668973471742
8,Saturday,Q1,56,39,17,69.64285714285714,20.88,0.37285714285714283,7.676751772484329,0.98,-1.02,2.204152249134947
23,Wednesday,Q4,59,41,18,69.49152542372882,21.82,0.36983050847457627,7.607307874004456,0.98,-1.02,2.1884531590413943
16,Tuesday,Q4,39,27,12,69.23076923076923,14.219999999999999,0.36461538461538456,7.449086590021692,0.98,-1.02,2.1617647058823533
13,Friday,Q4,71,49,22,69.01408450704226,25.58,0.36028169014084505,7.38971079203395,0.98,-1.02,2.1399286987522284
21,Thursday,Q3,45,31,14,68.88888888888889,16.099999999999998,0.35777777777777775,7.299910393715282,0.98,-1.02,2.1274509803921573
9,Saturday,Q3,51,35,16,68.62745098039215,17.98,0.35254901960784313,7.186410555602112,0.98,-1.02,2.101715686274509
20,Sunday,Q2,54,37,17,68.51851851851852,18.919999999999998,0.35037037037037033,7.13926168111725,0.98,-1.02,2.09111880046136
0,Wednesday,Q4,54,37,17,68.51851851851852,18.919999999999998,0.35037037037037033,7.139261681117251,0.98,-1.02,2.09111880046136
23,Tuesday,Q2,57,39,18,68.42105263157895,19.86,0.34842105263157896,7.097145523652141,0.98,-1.02,2.0816993464052276
0,Saturday,Q1,41,28,13,68.29268292682927,14.18,0.34585365853658534,7.012615751895359,0.98,-1.02,2.0693815987933637
18,Sunday,Q2,44,30,14,68.18181818181817,15.12,0.34363636363636363,6.9670908236834785,0.98,-1.02,2.0588235294117654
0,Friday,Q1,47,32,15,68.08510638297872,16.06,0.3417021276595744,6.927417233727288,0.98,-1.02,2.0496732026143794
21,Wednesday,Q2,47,32,15,68.08510638297872,16.06,0.3417021276595744,6.9274172337272875,0.98,-1.02,2.0496732026143794
13,Monday,Q4,75,51,24,68.0,25.5,0.34,6.915938716713253,0.98,-1.02,2.0416666666666665
19,Saturday,Q3,53,36,17,67.9245283018868,17.939999999999998,0.3384905660377358,6.8616237646875025,0.98,-1.02,2.0346020761245667
18,Saturday,Q4,56,38,18,67.85714285714286,18.88,0.33714285714285713,6.8340429975648185,0.98,-1.02,2.028322440087145
7,Saturday,Q2,56,38,18,67.85714285714286,18.88,0.33714285714285713,6.8340429975648185,0.98,-1.02,2.028322440087145
23,Monday,Q4,59,40,19,67.79661016949152,19.82,0.3359322033898305,6.80928138986686,0.98,-1.02,2.0227038183694535
16,Monday,Q2,37,25,12,67.56756756756756,12.26,0.33135135135135135,6.669552073780132,0.98,-1.02,2.001633986928105
5,Saturday,Q1,43,29,14,67.44186046511628,14.139999999999999,0.3288372093023256,6.6251123365821964,0.98,-1.02,1.990196078431373
2,Saturday,Q4,49,33,16,67.3469387755102,16.02,0.32693877551020406,6.591504694475403,0.98,-1.02,1.9816176470588234
