hour,day_name,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor,z_score,p_value,ci_95_lower,ci_95_upper,is_significant
1,Saturday,169,113,56,66.86390532544378,53.62,0.3172781065088757,6.419797059647664,0.98,-1.02,1.9387254901960793,3.1308972661098617,0.0017427311341553509,59.461647014615934,73.51652490695848,YES (p<0.05)
8,Saturday,217,140,77,64.51612903225806,58.66,0.2703225806451613,5.384509201225426,0.98,-1.02,1.7468805704099835,2.852753413642309,0.004334223928145864,57.94804509641928,70.57918890297215,YES (p<0.05)
13,Saturday,266,168,98,63.1578947368421,64.67999999999999,0.24315789473684207,4.806189471592032,0.98,-1.02,1.6470588235294128,2.713291062846898,0.006661856403383126,57.2119638358784,68.72918089495627,YES (p<0.05)
13,Friday,281,177,104,62.989323843416365,67.38,0.23978647686832738,4.735545307519484,0.98,-1.02,1.635180995475114,2.7319581782083864,0.006295913230183858,57.20413517240262,68.42414384302208,YES (p<0.05)
23,Friday,199,125,74,62.8140703517588,47.019999999999996,0.23628140703517586,4.658372913971433,0.98,-1.02,1.6229464758876537,2.24936251133158,0.024489441680148438,55.915831080228905,69.2269404222637,YES (p<0.05)
2,Wednesday,212,133,79,62.735849056603776,49.76,0.23471698113207545,4.626267482639347,0.98,-1.02,1.6175229585505102,2.2987842669774556,0.021517192641965943,56.05471230906467,68.9636344785796,YES (p<0.05)
4,Saturday,168,104,64,61.904761904761905,36.64,0.2180952380952381,4.277291410699314,0.98,-1.02,1.5612745098039222,1.829897906268379,0.06726520659889035,54.372869005386285,68.90438167198172,NO
21,Wednesday,169,104,65,61.53846153846154,35.62,0.21076923076923076,4.126181164941399,0.98,-1.02,1.537254901960785,1.7396410807772882,0.08192206103486788,54.024458666287245,68.53955370110579,NO
5,Saturday,194,119,75,61.34020618556701,40.12,0.2068041237113402,4.046234400375069,0.98,-1.02,1.5244444444444458,1.8083842195353992,0.07054672224007064,54.33065733926408,67.90935689434504,NO
20,Saturday,204,125,79,61.274509803921575,41.919999999999995,0.20549019607843136,4.019778228053161,0.98,-1.02,1.5202283445023594,1.8355497945484343,0.06642426820134739,54.4402464186874,67.69199274806267,NO
16,Saturday,265,162,103,61.13207547169811,53.699999999999996,0.20264150943396225,3.9636347664439824,0.98,-1.02,1.5111364934323257,2.0454637886115905,0.04080915570590604,55.143926374597676,66.80208198125202,YES (p<0.05)
21,Thursday,182,111,71,60.98901098901099,36.36,0.1997802197802198,3.9016943146905994,0.98,-1.02,1.502071251035627,1.6563499777862436,0.09765096488337699,53.7451744868179,67.77853172320182,NO
17,Saturday,220,134,86,60.909090909090914,43.599999999999994,0.19818181818181815,3.8709005886570065,0.98,-1.02,1.4970360237118117,1.797252831370296,0.07229549074173414,54.32671657295114,67.11701863980646,NO
23,Tuesday,230,140,90,60.86956521739131,45.4,0.1973913043478261,3.8551460884133784,0.98,-1.02,1.494553376906319,1.825599343396791,0.06791063479182857,54.43308496606384,66.9489103675295,NO
2,Saturday,171,104,67,60.81871345029239,33.58,0.19637426900584795,3.8315055842620787,0.98,-1.02,1.4913666959321052,1.5607631708782312,0.11857964010779787,53.341217624195906,67.82079416247271,NO
0,Tuesday,257,155,102,60.311284046692606,47.85999999999999,0.1862256809338521,3.6289135044363894,0.98,-1.02,1.4600153787005008,1.7499243313297583,0.08013137157213879,54.22002397075993,66.0988208760743,NO
18,Saturday,229,138,91,60.26200873362445,42.419999999999995,0.18524017467248907,3.608083201549474,0.98,-1.02,1.4570135746606345,1.6368644546900577,0.10165879446048098,53.80476334041947,66.38063308358724,NO
9,Saturday,228,137,91,60.08771929824561,41.44,0.18175438596491228,3.53753470058368,0.98,-1.02,1.4464555052790358,1.58039990843895,0.11401531253357056,53.6144912892844,66.22664162215167,NO
23,Monday,235,141,94,60.0,42.3,0.18,3.5023320498253807,0.98,-1.02,1.4411764705882366,1.5774538120827428,0.11469114179765905,53.623998833646816,66.05431516190505,NO
13,Monday,250,150,100,60.0,44.99999999999999,0.17999999999999997,3.5027810379753954,0.98,-1.02,1.4411764705882364,1.6270193767740673,0.10373298252428054,53.82005167677087,65.87727137823664,NO
0,Friday,197,118,79,59.89847715736041,35.059999999999995,0.1779695431472081,3.4599412269831604,0.98,-1.02,1.4350955572102273,1.415659250146539,0.15687529471695982,52.928250548196665,66.49003729655264,NO
