hour,quarter,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor,z_score,p_value,ci_95_lower,ci_95_upper,is_significant
23,Q4,360,239,121,66.38888888888889,110.8,0.30777777777777776,6.215277663420179,0.98,-1.02,1.8977475287635728,4.388463933573391,1.1415406053316701e-05,61.35888435310433,71.07281119792667,YES (p<0.05)
20,Q4,382,236,146,61.78010471204188,82.36,0.2156020942408377,4.232833166980136,0.98,-1.02,1.5530486167069577,2.7103698851509574,0.00672082121078188,56.81275118764154,66.51288295859878,YES (p<0.05)
1,Q4,387,239,148,61.75710594315246,83.25999999999999,0.21514211886304907,4.223390170081041,0.98,-1.02,1.5515368309485966,2.7189580615247015,0.006548791074297178,56.82207342056766,66.46101619937043,YES (p<0.05)
21,Q1,368,226,142,61.41304347826087,76.63999999999999,0.20826086956521736,4.081150999696687,0.98,-1.02,1.5291355979011334,2.5187352851135087,0.0117777165332138,56.345750568012484,66.24451367353551,YES (p<0.05)
0,Q1,336,204,132,60.71428571428571,65.28,0.19428571428571428,3.7944365744796587,0.98,-1.02,1.4848484848484858,2.1493374519102426,0.03160765973183577,55.39920952156121,65.78713140903703,YES (p<0.05)
23,Q2,365,219,146,60.0,65.69999999999999,0.17999999999999997,3.5049964336643753,0.98,-1.02,1.4411764705882362,1.9659349929490242,0.04930612027192227,54.89508750281908,64.89660627575687,YES (p<0.05)
0,Q3,355,213,142,60.0,63.89999999999999,0.17999999999999997,3.5048608097575915,0.98,-1.02,1.4411764705882364,1.9388173494183378,0.05252358277884728,54.82295397072712,64.96293484483941,NO
16,Q1,361,216,145,59.83379501385041,63.779999999999994,0.1766759002770083,3.437856337091318,0.98,-1.02,1.4312373225152137,1.8916722621230428,0.05853466126322848,54.69872601042366,64.76177410798387,NO
6,Q4,486,289,197,59.465020576131685,82.27999999999999,0.16930041152263373,3.290647934976495,0.98,-1.02,1.4094754653130293,2.031502735369722,0.042204022342755554,55.04231270280274,63.739268935016504,YES (p<0.05)
13,Q4,513,305,208,59.4541910331384,86.74,0.16908382066276803,3.286476756958484,0.98,-1.02,1.4088423831070898,2.0822414478247793,0.03732042113120615,55.150401671986295,63.617437449322836,YES (p<0.05)
10,Q4,501,297,204,59.2814371257485,82.97999999999999,0.16562874251497003,3.217086201391583,0.98,-1.02,1.3987889273356409,1.9800376119633718,0.0476993025238337,54.92440640877455,63.49721336265473,YES (p<0.05)
22,Q2,369,218,151,59.078590785907856,59.61999999999999,0.16157181571815715,3.134746412766284,0.98,-1.02,1.3870925853785234,1.6209862248801161,0.10502059300278366,53.99321058205629,63.9768871752755,NO
8,Q4,491,290,201,59.063136456211815,79.17999999999999,0.16126272912423623,3.1296242644656,0.98,-1.02,1.3862062237830464,1.8629687606849354,0.06246666150682323,54.659706050439574,63.32584730643263,NO
1,Q1,387,228,159,58.91472868217055,61.25999999999999,0.15829457364341082,3.0694856911929205,0.98,-1.02,1.3777284498705151,1.595271586345652,0.11065151660231498,53.94866767560133,63.705543135120976,NO
19,Q4,402,236,166,58.70646766169154,61.959999999999994,0.15412935323383084,2.986599306486574,0.98,-1.02,1.365934325537445,1.5419808501420655,0.12307824717468852,53.8330556868295,63.415052934859354,NO
5,Q4,445,261,184,58.651685393258425,68.1,0.15303370786516854,2.965144501622631,0.98,-1.02,1.362851662404093,1.599131736715019,0.10979133420724918,54.02108744720236,63.134185147851205,NO
11,Q4,486,285,201,58.64197530864198,74.27999999999999,0.15283950617283948,2.9615604902490085,0.98,-1.02,1.362306116476442,1.666874909672396,0.09553928089806485,54.21240920612176,62.93599141971322,NO
0,Q2,355,208,147,58.59154929577465,53.89999999999999,0.15183098591549293,2.9403722904408203,0.98,-1.02,1.3594771241830075,1.4055269334390526,0.1598646461017792,53.40230503769193,63.596838874273686,NO
21,Q2,382,223,159,58.37696335078534,56.35999999999999,0.1475392670157068,2.8554018311934066,0.98,-1.02,1.3475151066716005,1.3737139784574228,0.1695304955309549,53.37427807892481,63.21283953617942,NO
1,Q2,382,223,159,58.37696335078534,56.35999999999999,0.1475392670157068,2.855401831193404,0.98,-1.02,1.3475151066716005,1.3737139784574228,0.1695304955309549,53.37427807892481,63.21283953617942,NO
3,Q2,384,224,160,58.333333333333336,56.31999999999999,0.14666666666666664,2.838107602242163,0.98,-1.02,1.345098039215687,1.3601239778096867,0.1737906944756995,53.34348552671015,63.158096562472664,NO
14,Q4,477,278,199,58.280922431865825,69.46,0.14561844863731654,2.8180361904952127,0.98,-1.02,1.3422012020888767,1.4929020828097481,0.13546281986997122,53.806835016798374,62.62269187937699,NO
22,Q1,384,222,162,57.8125,52.31999999999999,0.13624999999999998,2.631988286734607,0.98,-1.02,1.316630355846043,1.1550208258549384,0.2480818982580164,52.81941553185936,62.650817676749526,NO
2,Q2,382,220,162,57.59162303664922,50.35999999999999,0.13183246073298427,2.5448612958657653,0.98,-1.02,1.3047688211086912,1.0652549230666102,0.28676058538146276,52.58420830254224,62.44786703614598,NO
18,Q1,338,194,144,57.396449704142015,43.239999999999995,0.12792899408284022,2.467610508948345,0.98,-1.02,1.2943899782135084,0.9299202809600208,0.35241236143787247,52.07052483794651,62.55613265488059,NO
4,Q1,380,216,164,56.84210526315789,44.39999999999999,0.11684210526315787,2.2504968725845953,0.98,-1.02,1.2654232424677196,0.76884530794923,0.4419851483345083,51.81813610088836,61.72911880842841,NO
18,Q2,345,195,150,56.52173913043478,38.099999999999994,0.11043478260869563,2.124947236540826,0.98,-1.02,1.2490196078431381,0.6130012718704005,0.5398754987418268,51.24723826266258,61.65259937138106,NO
20,Q1,384,217,167,56.510416666666664,42.31999999999999,0.11020833333333331,2.1208393265849197,0.98,-1.02,1.2484442878947997,0.6422629459680698,0.5207024688024686,51.51166122669044,61.380199780483615,NO
2,Q4,402,227,175,56.46766169154229,43.959999999999994,0.10935323383084576,2.104269338774458,0.98,-1.02,1.2462745098039225,0.6399166781806899,0.5222267703884733,51.582314090035595,61.230566600361854,NO
3,Q4,385,217,168,56.36363636363636,41.29999999999999,0.10727272727272724,2.063560603131996,0.98,-1.02,1.2410130718954255,0.5852216709097959,0.5583986752037218,51.37097175256439,61.23056059376892,NO
4,Q3,382,215,167,56.282722513089,40.35999999999999,0.10565445026178008,2.0319870460175697,0.98,-1.02,1.2369378889280276,0.5511564974152471,0.5815263986116244,51.27022460104109,61.17011361028707,NO
6,Q1,450,253,197,56.222222222222214,46.99999999999999,0.10444444444444442,2.0088052486724375,0.98,-1.02,1.2339006668657317,0.572413060404785,0.5670421698224231,51.60483817740962,60.73426868278125,NO
4,Q2,392,220,172,56.12244897959183,40.16,0.10244897959183673,1.969608555333204,0.98,-1.02,1.2289101687186512,0.4945545147421467,0.620914616248438,51.17406627712289,60.951996269107724,NO
20,Q2,394,221,173,56.09137055837563,40.11999999999999,0.10182741116751266,1.9575205807153082,0.98,-1.02,1.227360308285165,0.4834175736944658,0.6287992726589375,51.15552050906098,60.90958278833174,NO
12,Q3,484,271,213,55.99173553719008,48.31999999999999,0.09983471074380164,1.9191980759797793,0.98,-1.02,1.2224063334253898,0.4917432925454419,0.6229008292507578,51.539301546943406,60.349803441233085,NO
23,Q1,388,217,171,55.927835051546396,38.239999999999995,0.09855670103092783,1.8938519164526952,0.98,-1.02,1.2192409127393655,0.41498809662972785,0.6781506170301246,50.95354365963297,60.78589390901722,NO
16,Q4,313,175,138,55.91054313099042,30.739999999999995,0.09821086261980828,1.8865436598007923,0.98,-1.02,1.218385905086673,0.36658008588252483,0.7139322648052966,50.371408450002605,61.306351036125484,NO
13,Q2,499,278,221,55.71142284569138,47.01999999999999,0.09422845691382763,1.8102765476716658,0.98,-1.02,1.2085884127406625,0.37347027558730367,0.7087984642139822,51.32588307110423,60.00969457402299,NO
12,Q4,504,280,224,55.55555555555556,45.91999999999999,0.09111111111111109,1.749782285210054,0.98,-1.02,1.2009803921568636,0.30501681190045454,0.7603533480257199,51.191528288873435,59.83553211736348,NO
9,Q4,512,284,228,55.46875,45.75999999999999,0.08937499999999998,1.716134524677182,0.98,-1.02,1.1967664258685937,0.26795592951952063,0.7887332417158757,51.13884455124721,59.71720118062087,NO
11,Q3,480,266,214,55.41666666666667,42.39999999999999,0.08833333333333332,1.695827705247165,0.98,-1.02,1.1942459226681335,0.2365159836281451,0.8130323059259907,50.94439707800669,59.802921879271906,NO
15,Q4,381,211,170,55.38057742782152,33.379999999999995,0.08761154855643044,1.6813819894098343,0.98,-1.02,1.1925028835063445,0.19656210574980304,0.8441702272488276,50.36001548517326,60.29371841469619,NO
13,Q1,493,273,220,55.375253549695735,43.13999999999999,0.08750507099391479,1.6798209958490606,0.98,-1.02,1.1922459893048136,0.22121879597573668,0.8249220747166723,50.96237316411265,59.705010565430115,NO
8,Q2,542,300,242,55.35055350553506,47.15999999999999,0.08701107011070108,1.6704016561878252,0.98,-1.02,1.1910549343704433,0.22039610489297223,0.8255626786841757,51.142191542600834,59.48360172782782,NO
17,Q1,302,167,135,55.29801324503312,25.959999999999994,0.08596026490066223,1.6488296221658176,0.98,-1.02,1.1885257806826446,0.146167218976005,0.8837893830546868,49.65887817923157,60.8040542668451,NO
8,Q1,529,292,237,55.19848771266541,44.41999999999999,0.0839697542533081,1.611456242964913,0.98,-1.02,1.183751137585837,0.14745118064497847,0.882775910647194,50.93836858299811,59.38364831658332,NO
2,Q1,367,202,165,55.04087193460491,29.659999999999993,0.08081743869209808,1.5498063535977127,0.98,-1.02,1.1762329174093886,0.062136260745143036,0.9504543208767005,49.92531928119207,60.051986393252236,NO
20,Q3,392,215,177,54.8469387755102,30.159999999999993,0.07693877551020406,1.474983818344579,0.98,-1.02,1.1670543923784211,-0.012944170940912004,0.9896723342574119,49.897201768483335,59.70259774728256,NO
12,Q1,489,268,221,54.805725971370144,37.21999999999999,0.07611451942740284,1.459434985551425,0.98,-1.02,1.1651140094046677,-0.03277172619091855,0.973856625328376,50.37413685178479,59.16239577857758,NO
7,Q4,539,295,244,54.73098330241187,40.21999999999999,0.07461966604823746,1.4307025028623843,0.98,-1.02,1.1616039858566387,-0.06927792751335404,0.9447683948107866,50.51004410670152,58.88496172925504,NO
4,Q4,386,211,175,54.66321243523316,28.279999999999994,0.07326424870466319,1.4040167924567273,0.98,-1.02,1.1584313725490205,-0.08538397083333246,0.9319561360446802,49.675248982022055,59.559270884508365,NO
0,Q4,366,200,166,54.644808743169406,26.679999999999993,0.07289617486338795,1.396815705447403,0.98,-1.02,1.1575714623198685,-0.0902179704870535,0.9281140041761793,49.5225002823453,59.67062455812695,NO
5,Q1,390,213,177,54.61538461538461,28.199999999999992,0.07230769230769228,1.3855800037956525,0.98,-1.02,1.1561980724493193,-0.10480631109194763,0.9165295021061732,49.6530811662885,59.48764952341009,NO
5,Q2,429,234,195,54.54545454545454,30.41999999999999,0.0709090909090909,1.3587628062455792,0.98,-1.02,1.152941176470589,-0.13902899510705347,0.8894272367630771,49.814002696771,59.19622182878291,NO
17,Q2,311,169,142,54.340836012861736,20.779999999999994,0.0668167202572347,1.2793079763955586,0.98,-1.02,1.1434686550676618,-0.1908900442670081,0.8486117402745699,48.78540568073132,59.790335263286245,NO
23,Q3,370,201,169,54.32432432432432,24.599999999999994,0.06648648648648647,1.2732757964299437,0.98,-1.02,1.1427079707622703,-0.2145937716944459,0.8300840502839824,49.23015086199747,59.32962418711423,NO
11,Q2,499,271,228,54.30861723446894,33.01999999999999,0.06617234468937873,1.2676688979708317,0.98,-1.02,1.141984864121088,-0.2562616599992495,0.7977487998617148,49.921540121655305,58.629860558002065,NO
13,Q3,500,271,229,54.2,31.999999999999993,0.06399999999999999,1.2258273275656402,0.98,-1.02,1.13699803065331,-0.3053263833540632,0.7601175836908403,49.817336010903006,58.51861719343741,NO
21,Q3,368,199,169,54.07608695652174,22.639999999999993,0.061521739130434766,1.1776929936714997,0.98,-1.02,1.1313377421974717,-0.30971015569354166,0.756781379143592,48.968570881214944,59.09938063362363,NO
3,Q3,391,211,180,53.96419437340153,23.179999999999993,0.05928388746803067,1.1347398657910088,0.98,-1.02,1.1262527233115478,-0.3637048053874756,0.716078454594747,49.00909470920306,58.842155007138885,NO
6,Q2,467,252,215,53.96145610278372,27.659999999999993,0.0592291220556745,1.1339231713484146,0.98,-1.02,1.1261285909712728,-0.3986726625578115,0.6901344135612026,49.42685488005918,58.431414227853104,NO
3,Q1,404,218,186,53.960396039603964,23.919999999999995,0.05920792079207919,1.1333256902739648,0.98,-1.02,1.1260805397427796,-0.37123584551462185,0.7104618767916229,49.08552934005756,58.76065408017226,NO
9,Q1,490,264,226,53.87755102040816,28.199999999999992,0.05755102040816325,1.1017060932852012,0.98,-1.02,1.122332118688184,-0.4456966157461916,0.6558164095198769,49.45062953635016,58.24414546842871,NO
10,Q2,475,255,220,53.68421052631579,25.499999999999993,0.05368421052631577,1.0273479351730381,0.98,-1.02,1.1136363636363644,-0.5235010682486814,0.6006256078348171,49.18825476392553,58.12105169566362,NO
17,Q4,332,178,154,53.6144578313253,17.359999999999992,0.052289156626506,1.0000938367433256,0.98,-1.02,1.1105169340463465,-0.4632039813011926,0.6432181627614348,48.239344664553286,58.906881413454926,NO
16,Q3,310,166,144,53.5483870967742,15.799999999999994,0.05096774193548385,0.9746229331730406,0.98,-1.02,1.1075708061002185,-0.4709713201788689,0.6376612157200572,47.986874409450834,59.02303122447407,NO
16,Q2,307,164,143,53.420195439739416,14.859999999999994,0.04840390879478825,0.9254156265942929,0.98,-1.02,1.1018785136432203,-0.5138243239063264,0.60737482022809,47.83229885296835,58.92355364553893,NO
9,Q2,492,262,230,53.2520325203252,22.15999999999999,0.04504065040650404,0.8614495007235943,0.98,-1.02,1.0944586530264289,-0.725429600477115,0.4681885191799493,48.83505066213563,57.61862325308245,NO
12,Q2,484,257,227,53.099173553719005,20.319999999999993,0.04198347107438015,0.8028077095511614,0.98,-1.02,1.0877602142178464,-0.7870881505380365,0.4312302654477098,48.64626108655013,57.503275976299776,NO
10,Q1,510,269,241,52.74509803921569,17.79999999999999,0.03490196078431371,0.6671532111293547,0.98,-1.02,1.0724107070213986,-0.9686424421489753,0.3327236195651748,48.407785917649754,57.04136417062647,NO
18,Q4,383,202,181,52.74151436031331,13.339999999999993,0.0348302872062663,0.6655636403123771,0.98,-1.02,1.072256526920161,-0.8408264704049891,0.4004451556620572,47.73907044071467,57.68950807824502,NO
18,Q3,379,199,180,52.5065963060686,11.419999999999993,0.030131926121372013,0.5756334789570813,0.98,-1.02,1.0622004357298485,-0.9283302255770068,0.3532362999381289,47.47907667679602,57.483811368808226,NO
15,Q1,429,225,204,52.44755244755245,12.419999999999993,0.028951048951048934,0.5531270887472847,0.98,-1.02,1.0596885813148795,-1.0122452557994264,0.3114208027353207,47.72098539578466,57.13067396412899,NO
14,Q1,487,254,233,52.15605749486652,11.259999999999991,0.02312114989733058,0.4416860290023101,0.98,-1.02,1.0473786080955994,-1.207775266972398,0.2271337174754966,47.71987353180301,56.55849244206718,NO
7,Q2,514,267,247,51.9455252918288,9.719999999999992,0.018910505836575858,0.36120663331348396,0.98,-1.02,1.0385806144320082,-1.3367238254722562,0.18131280187703824,47.62779827982196,56.23438660451333,NO
21,Q4,343,177,166,51.60349854227405,4.1399999999999935,0.01206997084548103,0.23037857810719367,0.98,-1.02,1.0244507441530835,-1.2192572513449214,0.22274656833072948,46.32629816272797,56.84517838449127,NO
19,Q1,384,198,186,51.5625,4.319999999999993,0.011249999999999982,0.21475579461250383,0.98,-1.02,1.0227703984819743,-1.3062169976020241,0.19147877406311098,46.57321755072649,56.520829090995285,NO
14,Q2,483,249,234,51.5527950310559,5.339999999999991,0.011055900621117994,0.2111057414954636,0.98,-1.02,1.022373051784817,-1.4692378576609502,0.14176828531178298,47.10114133377394,55.97994294497298,NO
19,Q2,373,192,181,51.474530831099194,3.5399999999999934,0.009490616621983897,0.1811535506990477,0.98,-1.02,1.0191745206369847,-1.3215145301877342,0.18632986091998593,46.41335505894645,56.50564326820216,NO
9,Q3,488,251,237,51.434426229508205,4.239999999999991,0.008688524590163917,0.16589214743247463,0.98,-1.02,1.017539505253579,-1.529370898141787,0.1261725226851449,47.00613444382345,55.84031042785883,NO
2,Q3,386,198,188,51.29533678756477,2.279999999999993,0.005906735751295319,0.11273959652405792,0.98,-1.02,1.0118898623279107,-1.4150961635110273,0.1570403029108025,46.32079073047366,56.24435367689591,NO
14,Q3,486,249,237,51.23456790123457,2.2799999999999914,0.004691358024691341,0.08956331746842963,0.98,-1.02,1.0094316207495662,-1.6147755216035538,0.10635931593735304,46.798320665067514,55.65145085290892,NO
8,Q3,493,252,241,51.115618661257614,1.1399999999999912,0.002312373225152112,0.0441439903266678,0.98,-1.02,1.0046375396631686,-1.6794383645003623,0.09306664164257139,46.711477269141284,55.50250803321667,NO
10,Q3,495,252,243,50.90909090909091,-0.9000000000000088,-0.001818181818181836,-0.034706947097006696,0.98,-1.02,0.9963689179375459,-1.7751812935691271,0.0758679574396115,46.5150307021235,55.289149221924525,NO
1,Q3,403,204,199,50.62034739454094,-3.060000000000007,-0.007593052109181159,-0.14489611613838319,0.98,-1.02,0.9849246231155787,-1.7182279949568617,0.08575503714581001,45.75623499418124,55.47274453986838,NO
5,Q3,449,227,222,50.55679287305123,-3.980000000000008,-0.008864142538975519,-0.1691710049881777,0.98,-1.02,0.9824236000706597,-1.8407045740228292,0.06566486328276167,45.94710566336095,55.157033179006895,NO
19,Q3,386,195,191,50.51813471502591,-3.720000000000007,-0.009637305699481883,-0.18389168809073633,0.98,-1.02,0.9809054511857106,-1.721952823359727,0.08507806486004066,45.54986180305502,55.476195959892806,NO
15,Q3,403,203,200,50.37220843672456,-5.060000000000008,-0.012555831265508704,-0.2395876567998874,0.98,-1.02,0.9751960784313731,-1.8183329161231692,0.06901326475084546,45.510202007052555,55.2271857133772,NO
22,Q3,353,177,176,50.14164305949008,-6.060000000000006,-0.017167138810198317,-0.3275141534625619,0.98,-1.02,0.9662433155080219,-1.7888530002557026,0.07363849270589773,44.9522777214194,55.32795866357607,NO
22,Q4,375,186,189,49.6,-10.500000000000007,-0.028000000000000018,-0.5342426164560014,0.98,-1.02,0.9455337690631815,-2.0545374030905084,0.03992370712759352,44.56924149881936,54.63887080986057,YES (p<0.05)
7,Q1,486,241,245,49.58847736625515,-13.72000000000001,-0.028230452674897138,-0.5388051264239335,0.98,-1.02,0.9450980392156868,-2.344031172998211,0.019076576903852782,45.16394907119796,54.01946042280989,YES (p<0.05)
11,Q1,487,241,246,49.48665297741273,-14.740000000000009,-0.030266940451745397,-0.5776855431718716,0.98,-1.02,0.9412561772676556,-2.3915984013143032,0.016775186518771745,45.06751038027589,53.913831054516926,YES (p<0.05)
17,Q3,325,160,165,49.23076923076923,-11.500000000000005,-0.0353846153846154,-0.6750611860380549,0.98,-1.02,0.931669637551991,-2.0464367787377813,0.04071341664015504,43.836171666141894,54.64333944194175,YES (p<0.05)
6,Q3,484,236,248,48.760330578512395,-21.680000000000007,-0.04479338842975208,-0.8551548380349502,0.98,-1.02,0.9142947501581283,-2.7053353151632518,0.006823547275553121,44.33447407173902,53.205711103121025,YES (p<0.05)
7,Q3,525,251,274,47.80952380952381,-33.50000000000001,-0.06380952380952383,-1.219088103565956,0.98,-1.02,0.8801345355660518,-3.2553959304072877,0.0011323438711232647,43.56798991970789,52.082881721252264,YES (p<0.05)
