hour,trades,wins,win_rate,pnl,avg_pnl,is_q3_hour,q3_candles_removed
0,1057,612,57.89971617786187,145.85999999999999,0.13799432355723745,False,True
1,1156,690,59.688581314878896,200.87999999999997,0.17377162629757784,False,True
2,1151,649,56.385751520417024,123.97999999999998,0.10771503040834056,False,True
3,1173,659,56.18073316283036,121.53999999999998,0.10361466325660697,False,True
4,1158,647,55.87219343696027,112.83999999999997,0.0974438687392055,False,True
5,1264,708,56.0126582278481,126.71999999999997,0.100253164556962,False,True
6,1403,794,56.59301496792587,156.93999999999997,0.11186029935851743,False,True
7,1539,803,52.176738141650425,36.21999999999997,0.023534762833008427,False,True
8,1562,882,56.466069142125484,170.75999999999996,0.10932138284250958,False,True
9,1494,810,54.21686746987952,96.11999999999998,0.06433734939759035,False,True
10,1486,821,55.248990578734855,126.27999999999997,0.08497981157469715,False,True
11,1472,797,54.14402173913043,92.55999999999997,0.06288043478260867,False,True
12,1477,805,54.502369668246445,103.45999999999998,0.07004739336492889,False,True
13,1505,856,56.87707641196014,176.89999999999998,0.11754152823920264,False,True
14,1447,781,53.973738769868696,86.05999999999997,0.05947477539737386,False,True
15,1205,623,51.70124481327802,16.899999999999977,0.014024896265560147,False,True
16,981,555,56.574923547400616,109.37999999999998,0.11149847094801221,False,True
17,945,514,54.39153439153439,64.09999999999998,0.06783068783068781,False,True
18,1066,591,55.44090056285178,94.67999999999998,0.08881801125703563,False,True
19,1159,626,54.0120793787748,69.81999999999998,0.0602415875754961,False,True
20,1160,674,58.10344827586207,164.79999999999998,0.14206896551724135,False,True
21,1093,626,57.27355901189387,137.14,0.1254711802378774,False,True
22,1128,626,55.49645390070922,101.43999999999998,0.08992907801418439,False,True
23,1113,675,60.64690026954178,214.73999999999998,0.19293800539083555,False,True
