=================================================================
                   MONTHLY PERFORMANCE REPORT                    
=================================================================
Month      | Trades   | Win Rate   | PF     | PnL       
-----------------------------------------------------------------
2023-02    | 886      | 54.74%     | 1.16   |     $66.28
2023-03    | 960      | 53.12%     | 1.09   |     $40.80
2023-04    | 896      | 58.37%     | 1.35   |    $132.08
2023-05    | 988      | 57.29%     | 1.29   |    $124.24
2023-06    | 966      | 57.66%     | 1.31   |    $128.68
2023-07    | 940      | 54.57%     | 1.15   |     $67.20
2023-08    | 906      | 56.07%     | 1.23   |     $91.88
2023-09    | 803      | 61.39%     | 1.53   |    $166.94
2023-10    | 867      | 56.63%     | 1.25   |     $97.66
2023-11    | 871      | 56.03%     | 1.22   |     $87.58
2023-12    | 911      | 54.67%     | 1.16   |     $66.78
2024-01    | 807      | 59.23%     | 1.40   |    $132.86
2024-02    | 937      | 55.92%     | 1.22   |     $92.26
2024-03    | 905      | 54.36%     | 1.14   |     $60.90
2024-04    | 966      | 57.04%     | 1.28   |    $116.68
2024-05    | 1062     | 55.93%     | 1.22   |    $104.76
2024-06    | 818      | 55.75%     | 1.21   |     $77.64
2024-07    | 1129     | 52.52%     | 1.06   |     $34.42
2024-08    | 950      | 55.26%     | 1.19   |     $81.00
2024-09    | 1130     | 54.25%     | 1.14   |     $73.40
2024-10    | 1024     | 53.22%     | 1.09   |     $45.52
2024-11    | 973      | 54.78%     | 1.16   |     $73.54
2024-12    | 986      | 52.43%     | 1.06   |     $28.28
2025-01    | 1098     | 54.19%     | 1.14   |     $70.04
2025-02    | 939      | 54.21%     | 1.14   |     $60.22
2025-03    | 1023     | 53.47%     | 1.10   |     $50.54
2025-04    | 1006     | 53.38%     | 1.10   |     $47.88
2025-05    | 1091     | 53.44%     | 1.10   |     $53.18
2025-06    | 1126     | 53.55%     | 1.11   |     $57.48
2025-07    | 1138     | 52.90%     | 1.08   |     $43.24
2025-08    | 1226     | 54.08%     | 1.13   |     $75.48
2025-09    | 1001     | 56.84%     | 1.27   |    $116.98
2025-10    | 1137     | 54.18%     | 1.14   |     $72.26
2025-11    | 1058     | 55.10%     | 1.18   |     $86.84
2025-12    | 986      | 56.90%     | 1.27   |    $116.28
2026-01    | 1047     | 57.88%     | 1.32   |    $144.06
2026-02    | 731      | 54.72%     | 1.16   |     $54.38
-----------------------------------------------------------------
Total PnL: $3040.24
=================================================================
